season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,pfr_id,forty,comp_av,comps,transition_yards,transition_tds,transition_av_pred,pred_av,preseason_snaps,usage_factor,boom_metric,tier
2024,2,35,ATL,00-0039733,OrhoRu00,ruke-orhorhoro-1,Ruke Orhorhoro,False,DT,DL,D,Clemson,22.0,2024.0,0,0,0,1.0,,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,OrhoRu00,4.89,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",28.26,37.125,0.0,,0.0,0,,Bust
2024,2,36,WAS,00-0039906,NewtJe00,jerzhan-newton-1,Jer'Zhan Newton,False,DL,DL,D,Illinois,22.0,2024.0,0,0,0,5.0,,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,2.0,NewtJe00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,2,37,NWE,00-0039907,PolkJa00,jalynn-polk-1,Ja'Lynn Polk,False,WR,WR,O,Washington,22.0,2024.0,0,0,1,1.0,,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,87.0,2.0,,,,PolkJa00,4.52,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",0.4212220472309065,16.287563756375636,0.0,,0.0,0,,Bust
2024,2,38,TEN,00-0039886,SweaTV01,tvondre-sweat-1,T'Vondre Sweat,False,DL,DL,D,Texas,23.0,2024.0,0,0,1,7.0,,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,1.0,SweaTV01,5.27,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,2,39,LAR,00-0039734,FiskBr00,braden-fiske-1,Braden Fiske,False,DL,DL,D,Florida St.,24.0,2024.0,0,0,0,5.0,,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,8.5,FiskBr00,4.78,21.0,"['Courtney Brown', 'Michael Boireau', 'Michael Boireau']",,,0.0,10.5,0.0,0,10.5,Neutral
2024,2,40,PHI,00-0039841,DeJeCo00,cooper-dejean-1,Cooper DeJean,False,DB,DB,D,Iowa,21.0,2024.0,0,0,0,5.0,,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,0.5,DeJeCo00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,,0.0,0,,Bust
2024,2,41,NOR,00-0039860,McKiKo00,kool-aid-mckinstry-1,Kool-Aid McKinstry,False,DB,DB,D,Alabama,21.0,2024.0,0,0,0,3.0,,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,,McKiKo00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,,0.0,0,,Bust
2024,2,42,HOU,00-0039343,LassKa00,kamari-lassiter-1,Kamari Lassiter,False,DB,DB,D,Georgia,21.0,2024.0,0,0,1,5.0,,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.0,,LassKa00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,,0.0,0,,Bust
2024,2,43,ARI,00-0039807,MeltMa00,max-melton-1,Max Melton,False,DB,DB,D,Rutgers,22.0,2024.0,0,0,0,2.0,,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,,,MeltMa00,4.39,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,,0.0,0,,Bust
2024,2,44,LVR,,PoweJa00,jackson-powers-johnson-1,Jackson Powers-Johnson,False,OL,OL,O,Oregon,21.0,2024.0,0,0,1,4.0,,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,PoweJa00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,2,45,GNB,00-0039850,CoopEd00,edgerrin-cooper-1,Edgerrin Cooper,False,LB,LB,D,Texas A&M,22.0,2024.0,0,0,0,4.0,,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,3.5,CoopEd00,4.51,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",1.5780547409579668,,0.0,,0.0,0,,Bust
2024,2,46,CAR,00-0039344,BrooJo02,jonathon-brooks-1,Jonathon Brooks,False,RB,RB,O,Texas,21.0,2024.0,0,0,0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,3.0,23.0,0.0,,,,BrooJo02,,0.6666666666666666,"['Jake Haener', 'Ben DiNucci', 'Erik Ezukanma']",-0.013828560176893146,1.2396089400923982,-0.3042283238916492,0.1812191713875087,0.0,0,0.1812191713875087,Bust
2024,2,47,NYG,00-0039861,NubiTy00,tyler-nubin-1,Tyler Nubin,False,DB,DB,D,Minnesota,23.0,2024.0,0,0,1,5.0,,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,,NubiTy00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,,0.0,0,,Bust
2024,2,48,JAX,00-0039889,SmitMa07,maason-smith-1,Maason Smith,False,DT,DL,D,LSU,21.0,2024.0,0,0,0,2.0,,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,3.0,SmitMa07,5.01,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",28.26,37.125,0.0,,0.0,0,,Bust
2024,2,49,CIN,00-0039908,JenkKr01,kris-jenkins-1,Kris Jenkins,False,DL,DL,D,Michigan,22.0,2024.0,0,0,0,4.0,,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,3.0,JenkKr01,4.91,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,2,50,WAS,00-0039898,SainMi00,mike-sainristil-1,Mike Sainristil,False,DB,DB,D,Michigan,23.0,2024.0,0,0,1,5.0,,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2.0,,SainMi00,4.47,71.0,"['Keith Bulluck', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,35.5,0.0,0,35.5,Boom
2024,2,51,PIT,,FrazZa00,zach-frazier-1,Zach Frazier,False,OL,OL,O,West Virginia,23.0,2024.0,0,0,1,6.0,,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,,,,FrazZa00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,2,52,IND,00-0039890,MitcAd00,adonai-mitchell-1,Adonai Mitchell,False,WR,WR,O,Texas,21.0,2024.0,0,0,1,3.0,,3.0,17.0,1.0,1.0,24.0,0.0,0.0,4.0,6.0,0.0,23.0,312.0,0.0,,,,MitcAd00,4.34,9.666666666666666,"['Trindon Holliday', 'Tyrone Calico', 'Will Fuller']",0.4212220472309065,16.287563756375636,2.527332283385439,6.0969994750260526,0.0,0,6.0969994750260526,Neutral
2024,2,53,WAS,00-0039912,SinnBe00,ben-sinnott-1,Ben Sinnott,False,TE,TE,O,Kansas St.,22.0,2024.0,0,0,0,0.0,,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,1.0,2.0,,,SinnBe00,4.68,36.0,"['Michael Boireau', 'Michael Boireau', 'Julian Peterson']",2.7361079477487347,17.866666666666667,0.0,18.0,0.0,0,18.0,Boom
2024,2,54,CLE,00-0039895,HallMi00,michael-hall-jr-1,Michael Hall,False,DT,DL,D,Ohio St.,21.0,2024.0,0,0,0,2.0,,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,1.0,HallMi00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",28.26,37.125,0.0,,0.0,0,,Bust
2024,2,55,MIA,,PaulPa01,patrick-paul-1,Patrick Paul,False,OL,OL,O,Houston,22.0,2024.0,0,0,0,2.0,,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,PaulPa01,5.13,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,2,56,DAL,00-0039900,KneeMa00,marshawn-kneeland-1,Marshawn Kneeland,False,DL,DL,D,Western Michigan,23.0,2024.0,0,0,0,1.0,,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,KneeMa00,4.75,4.0,"['Michael Boireau', 'Michael Boireau', 'Erik Flowers']",,,0.0,2.0,0.0,0,2.0,Bust
2024,2,57,TAM,00-0039902,BrasCh01,chris-braswell-1,Chris Braswell,False,LB,LB,D,Alabama,22.0,2024.0,0,0,0,1.0,,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,1.5,BrasCh01,4.6,14.0,"['Michael Boireau', 'Sylvester Morris', ""Deltha O'Neal""]",1.5780547409579668,,0.0,7.0,0.0,0,7.0,Neutral
2024,2,58,GNB,00-0039867,BullJa00,javon-bullard-1,Javon Bullard,False,DB,DB,D,Georgia,22.0,2024.0,0,0,1,4.0,,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,,,BullJa00,4.47,71.0,"['Keith Bulluck', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,35.5,0.0,0,35.5,Boom
2024,2,59,HOU,,FishBl00,blake-fisher-1,Blake Fisher,False,OL,OL,O,Notre Dame,21.0,2024.0,0,0,0,3.0,,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,FishBl00,5.2,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,2,60,BUF,00-0039872,BishCo00,cole-bishop-1,Cole Bishop,False,SAF,DB,D,Utah,21.0,2024.0,0,0,0,2.0,,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,,BishCo00,4.45,1.0,"['Dwayne Goodrich', 'Michael Boireau', 'Michael Boireau']",,,0.0,0.5,0.0,0,0.5,Bust
2024,2,61,DET,00-0039862,RakeEn00,ennis-rakestraw-jr-1,Ennis Rakestraw,False,DB,DB,D,Missouri,22.0,2024.0,0,0,0,0.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,RakeEn00,4.51,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,,0.0,0,,Bust
